time_s,reference_position_m,current_position_m
8.870548,0.000000,-0.000000
8.880276,0.000000,-0.000000
8.890364,0.000000,-0.000000
8.900154,0.000000,-0.000000
8.910299,0.000000,-0.000000
8.920146,0.000000,-0.000000
8.930387,0.000000,-0.000000
8.940484,0.000000,-0.000000
8.950421,0.000000,-0.000000
8.960103,0.000000,-0.000000
8.970134,0.000000,-0.000000
8.980373,0.000000,-0.000000
8.990124,0.000000,-0.000000
9.000545,0.000000,-0.000000
9.010105,0.000000,-0.000000
9.020222,0.000000,-0.000000
9.030271,0.000000,-0.000000
9.040089,0.000000,-0.000000
9.050563,0.000000,-0.000000
9.060255,0.000000,-0.000000
9.070151,0.000000,-0.000000
9.080077,0.000000,-0.000000
9.091324,0.000000,-0.000000
9.100161,0.000000,-0.000000
9.110227,0.000000,-0.000000
9.120895,0.000000,-0.000000
9.130091,0.000000,-0.000000
9.140077,0.000000,-0.000000
9.150367,0.000000,-0.000000
9.160079,0.000000,-0.000000
9.170075,0.000000,-0.000000
9.180124,0.000000,-0.000000
9.190137,0.000000,-0.000000
9.200114,0.000000,-0.000000
9.210281,0.000000,-0.000000
9.220160,0.000000,-0.000000
9.230420,0.000000,-0.000000
9.240154,0.000000,-0.000000
9.250147,0.000000,-0.000000
9.260093,0.000000,-0.000000
9.270075,0.000000,-0.000000
9.280143,0.000000,-0.000000
9.290098,0.000000,-0.000000
9.300062,0.000000,-0.000000
9.310082,0.000000,-0.000000
9.320114,0.000000,-0.000000
9.330108,0.000000,-0.000000
9.340075,0.000000,-0.000000
9.350111,0.000000,-0.000000
9.360075,0.000000,-0.000000
9.370074,0.000000,-0.000000
9.380096,0.000000,-0.000000
9.390118,0.000000,-0.000000
9.400295,0.000000,-0.000000
9.410162,0.000000,-0.000000
9.420251,0.000000,-0.000000
9.430117,0.000000,-0.000000
9.440072,0.000000,-0.000000
9.450458,0.000000,-0.000000
9.460073,0.000000,-0.000000
9.470098,0.000000,-0.000000
9.480075,0.000000,-0.000000
9.490079,0.000000,-0.000000
9.500127,0.000000,-0.000000
9.510076,0.000000,-0.000000
9.520131,0.000000,-0.000000
9.530085,0.000000,-0.000000
9.540204,0.000000,-0.000000
9.550210,0.000000,-0.000000
9.560074,0.000000,-0.000000
9.570082,0.000000,-0.000000
9.580078,0.000000,-0.000000
9.590072,0.000000,-0.000000
9.600106,0.000000,-0.000000
9.610076,0.000000,-0.000000
9.620261,0.000000,-0.000000
9.630085,0.000000,-0.000000
9.640148,0.000000,-0.000000
9.650468,0.000000,-0.000000
9.660080,0.000000,-0.000000
9.670297,0.000000,-0.000000
9.680018,0.000000,-0.000000
9.690171,0.000000,-0.000000
9.700147,0.000000,-0.000000
9.710147,0.000000,-0.000000
9.720078,0.000000,-0.000000
9.730087,0.000000,-0.000000
9.740295,0.000000,-0.000000
9.750097,0.000000,-0.000000
9.760078,0.000000,-0.000000
9.770102,0.000000,-0.000000
9.780152,0.000000,-0.000000
9.790142,0.000000,-0.000000
9.800093,0.000000,-0.000000
9.810090,0.000000,-0.000000
9.820075,0.000000,-0.000000
9.830133,0.000000,-0.000000
9.840186,0.000000,-0.000000
9.850056,0.000000,-0.000000
9.860106,0.000000,-0.000000
9.870075,0.000000,-0.000000
9.880311,0.000000,-0.000000
9.890075,0.000000,-0.000000
9.900074,0.000000,-0.000000
9.910073,0.000000,-0.000000
9.920072,0.000000,-0.000000
9.930076,0.000000,-0.000000
9.940076,0.000000,-0.000000
9.950052,0.000000,-0.000000
9.960168,0.000000,-0.000000
9.970214,0.000000,-0.000000
9.980122,0.000000,-0.000000
9.990073,0.000000,-0.000000
10.000097,0.000000,-0.000000
10.010443,0.000000,-0.000000
10.021142,0.000000,-0.000000
10.030056,0.000000,-0.000000
10.040198,0.000000,-0.000000
10.050172,0.000000,-0.000000
10.060086,0.000000,-0.000000
10.070479,0.000000,-0.000000
10.080074,0.000000,-0.000000
10.090262,0.000000,-0.000000
10.100115,0.000000,-0.000000
10.110138,0.000000,-0.000000
10.120278,0.000000,-0.000000
10.130506,0.000000,-0.000000
10.140286,0.000000,-0.000000
10.150080,0.000000,-0.000000
10.160082,0.000000,-0.000000
10.170102,0.000000,-0.000000
10.180185,0.000000,-0.000000
10.190117,0.000000,-0.000000
10.200075,0.000000,-0.000000
10.210079,0.000000,-0.000000
10.220079,0.000000,-0.000000
10.230096,0.000000,-0.000000
10.240484,0.000000,-0.000000
10.250085,0.000000,-0.000000
10.260075,0.000000,-0.000000
10.270077,0.000000,-0.000000
10.280394,0.000000,-0.000000
10.290182,0.000000,-0.000000
10.300198,0.000000,-0.000000
10.310072,0.000000,-0.000000
10.320074,0.000000,-0.000000
10.330197,0.000000,-0.000000
10.340157,0.000000,-0.000000
10.350075,0.000000,-0.000000
10.360075,0.000000,-0.000000
10.370230,0.000000,-0.000000
10.380149,0.000000,-0.000000
10.390187,0.000000,-0.000000
10.400089,0.000000,-0.000000
10.410163,0.000000,-0.000000
10.420160,0.000000,-0.000000
10.430240,0.000000,-0.000000
10.441046,0.000000,-0.000000
10.450140,0.000000,-0.000000
10.460263,0.000000,-0.000000
10.470075,0.000000,-0.000000
10.480264,0.000000,-0.000000
10.490117,0.000000,-0.000000
10.500169,0.000000,-0.000000
10.510188,0.000000,-0.000000
10.520266,0.000000,-0.000000
10.530168,0.000000,-0.000000
10.540262,0.000000,-0.000000
10.550502,0.000000,-0.000000
10.560074,0.000000,-0.000000
10.570069,0.000000,-0.000000
10.580220,0.000000,-0.000000
10.590161,0.000000,-0.000000
10.600086,0.000000,-0.000000
10.610086,0.000000,-0.000000
10.620119,0.000000,-0.000000
10.630083,0.000000,-0.000000
10.640223,0.000000,-0.000000
10.651275,0.000000,-0.000000
10.660171,0.000000,-0.000000
10.670082,0.000000,-0.000000
10.680148,0.000000,-0.000000
10.690097,0.000000,-0.000000
10.700139,0.000000,-0.000000
10.710074,0.000000,-0.000000
10.720075,0.000000,-0.000000
10.730179,0.000000,-0.000000
10.740074,0.000000,-0.000000
10.750094,0.000000,-0.000000
10.760089,0.000000,-0.000000
10.770085,0.000000,-0.000000
10.780080,0.000000,-0.000000
10.790138,0.000000,-0.000000
10.800250,0.000000,-0.000000
10.810098,0.000000,-0.000000
10.820076,0.000000,-0.000000
10.830079,0.000000,-0.000000
10.840088,0.000000,-0.000000
10.850439,0.000000,-0.000000
10.860033,0.000000,-0.000000
10.870086,0.000000,-0.000000
10.880099,0.000000,-0.000000
10.890154,0.000000,-0.000000
10.900090,0.000000,-0.000000
10.910162,0.000000,-0.000000
10.920076,0.000000,-0.000000
10.930074,0.000000,-0.000000
10.940064,0.000000,-0.000000
10.950120,0.000000,-0.000000
10.960164,0.000000,-0.000000
10.970213,0.000000,-0.000000
10.980125,0.000000,-0.000000
10.990075,0.000000,-0.000000
11.000076,0.000000,-0.000000
11.010168,0.000000,-0.000000
11.020125,0.000000,-0.000000
11.030310,0.000000,-0.000000
11.040075,0.000000,-0.000000
11.050110,0.000000,-0.000000
11.060171,0.000000,-0.000000
11.070077,0.000000,-0.000000
11.080121,0.000000,-0.000000
11.090093,0.000000,-0.000000
11.100258,0.000000,-0.000000
11.110077,0.000000,-0.000000
11.120081,0.000000,-0.000000
11.130072,0.000000,-0.000000
11.140085,0.000000,-0.000000
11.150140,0.000000,-0.000000
11.160085,0.000000,-0.000000
11.170080,0.000000,-0.000000
11.180080,0.000000,-0.000000
11.190079,0.000000,-0.000000
11.200163,0.000000,-0.000000
11.210081,0.000000,-0.000000
11.220176,0.000000,-0.000000
11.230052,0.000000,-0.000000
11.240252,0.000000,-0.000000
11.250179,0.000000,-0.000000
11.260715,0.000000,-0.000000
11.270061,0.000000,-0.000000
11.280134,0.000000,-0.000000
11.290075,0.000000,-0.000000
11.300228,0.000000,-0.000000
11.310094,0.000000,-0.000000
11.320479,0.000000,-0.000000
11.330210,0.000000,-0.000000
11.340473,0.000000,-0.000000
11.350314,0.000000,-0.000000
11.360102,0.000000,-0.000000
11.370106,0.000000,-0.000000
11.380264,0.000000,-0.000000
11.390347,0.000000,-0.000000
11.400077,0.000000,-0.000000
11.410301,0.000000,-0.000000
11.420079,0.000000,-0.000000
11.430418,0.000000,-0.000000
11.440258,0.000000,-0.000000
11.450178,0.000000,-0.000000
11.460089,0.000000,-0.000000
11.470249,0.000000,-0.000000
11.480073,0.000000,-0.000000
11.490127,0.000000,-0.000000
11.500706,0.000000,-0.000000
11.510315,0.000000,-0.000000
11.520125,0.000000,-0.000000
11.530220,0.000000,-0.000000
11.540286,0.000000,-0.000000
11.550076,0.000000,-0.000000
11.560084,0.000000,-0.000000
11.570121,0.000000,-0.000000
11.580078,0.000000,-0.000000
11.590091,0.000000,-0.000000
11.600121,0.000000,-0.000000
11.610174,0.000000,-0.000000
11.620170,0.000000,-0.000000
11.630220,0.000000,-0.000000
11.640111,0.000000,-0.000000
11.650050,0.000000,-0.000000
11.660127,0.000000,-0.000000
11.670199,0.000000,-0.000000
11.680293,0.000000,-0.000000
11.690351,0.000000,-0.000000
11.700112,0.000000,-0.000000
11.710076,0.000000,-0.000000
11.720156,0.000000,-0.000000
11.730072,0.000000,-0.000000
11.740089,0.000000,-0.000000
11.750085,0.000000,-0.000000
11.760077,0.000000,-0.000000
11.770097,0.000000,-0.000000
11.780212,0.000000,-0.000000
11.790067,0.000000,-0.000000
11.800074,0.000000,-0.000000
11.810081,0.000000,-0.000000
11.820088,0.000000,-0.000000
11.830093,0.000000,-0.000000
11.840163,0.000000,-0.000000
11.850085,0.000000,-0.000000
11.860035,0.000000,-0.000000
11.870210,0.000000,-0.000000
